id_new,pscore_new,sTested_new,sActive_new,aTested_new,aActive_new,wTested_new,wActive_new,id_old,pscore_old,sTested_old,sActive_old,aTested_old,aActive_old,wTested_old,wActive_old,smiles
24437,377,108,102,712,237,64607,1510,24437,366,108,96,420,132,35356,882,"S1CC=NN=C1"
19504,405,25,24,812,153,10230,476,19504,386,25,22,520,91,6290,310,"O=C(c1ccco1)Nc1cc2c([nH]1)nc1c(n2)cccc1"
23893,392,167,163,713,354,105403,1643,23893,323,167,143,421,188,56064,891,"S=C1NC(=O)C(=C)N1"
24741,775,47,47,713,265,31492,1326,24741,801,47,47,421,150,17532,779,"O1CCN(CC1)c1ccco1"
339,618,3786,3303,815,708,2218734,32176,339,627,3786,2874,523,439,1199150,19790,"c1ccc2c(c1)scn2"
43586,400,56,50,706,200,28280,904,43586,307,56,47,415,107,14532,410,"O=C1N=c2sncn2C(=N)C1=C"
63344,482,20,19,811,147,10433,618,63344,399,20,18,519,81,5940,340,"n1cnc(cn1)c1ccco1"
93904,618,18,18,689,209,9953,469,93904,492,18,18,397,111,4993,204,"O=C1C=Cc2c(C1=N)cccc2"
3700,875,41,39,708,272,22447,1107,3700,568,41,34,416,135,12080,516,"C=C1CCCC(=C)C1=O"
98532,385,3,3,644,115,2058,207,98532,300,3,3,365,60,1143,100,"O=C1C=CC(=CNn2c(=N)scc2c2cccs2)C=C1"
80405,573,7,7,639,113,4005,402,80405,479,7,7,359,57,2186,209,"C=C1CCC2C(=C1)C=CCC2"
3199,460,547,515,714,477,321280,4457,3199,356,547,414,422,257,158452,2269,"O=C1SC(=C)C(=O)N1"
19490,359,8,8,803,130,4788,279,19490,335,8,8,511,80,2914,156,"c1ccc2c(c1)CN(CC2)c1ncnc2c1[nH]c1c2cccc1"
21080,590,48,48,815,271,32810,1105,21080,629,48,48,523,158,19098,714,"O=C1C(=C)Sc2c1cccc2"
23804,555,26,24,812,234,13026,554,23804,538,26,23,520,143,7698,329,"C=C1SC2N(C1=O)C1C(N2)CCCC1"
27765,361,26,25,801,187,17226,560,27765,310,26,25,509,106,10027,298,"c1ccc(cc1)C=Cc1ccco1"
1283,398,510,448,814,480,296042,4070,1283,313,510,367,522,281,161832,2210,"O=C(c1ccccc1)Nc1nccs1"
60742,475,7,7,687,142,4033,277,60742,419,7,7,396,73,2204,151,"c1ccc(cc1)N=Nc1nc2c([nH]1)cccc2"
65985,358,11,11,801,113,8696,512,65985,354,11,11,512,68,5628,328,"O=C1CC(Cc2c1cc[nH]2)c1ccco1"
90249,778,105,101,710,345,63158,2051,90249,709,105,92,418,195,34664,1148,"c1ccc(cc1)C=Cc1nc2c([nH]1)cccc2"
93400,339,49,49,689,134,23992,865,93400,331,49,44,398,67,11533,519,"O=C(c1ccccc1)ON=Cc1ccccn1"
97283,320,22,21,709,164,12227,391,97283,314,22,20,418,97,6704,217,"c1ccc(cc1)NN=Cc1c[nH]nc1"
1026,422,13,13,708,153,7119,340,1026,337,13,11,416,84,3883,186,"O=C(c1cccs1)C=Cc1ccccc1"
1084,639,6,6,541,122,2876,305,1084,405,6,6,250,49,1337,124,"C=C1C(=O)OC2C1CC1C(CC2)C=CC1=O"
917,299,156,140,815,291,97063,1643,917,339,156,129,523,184,56688,1133,"c1ccc(cc1)c1nnc(o1)c1ccccc1"
5841,431,74,73,710,236,43266,1126,5841,407,74,70,418,142,22267,548,"C=C1C(=O)NNC1=O"
17407,330,8,7,795,141,4435,252,17407,339,8,7,503,85,2586,152,"O=c1n(c2ccccn2)c(=O)c2c3c1cccc3ccc2"
63,443,9776,8067,815,740,5342499,56083,63,369,9776,6037,523,456,2698377,30987,"c1nccs1"
47678,378,14,14,801,129,6815,368,47678,336,14,13,509,73,2965,171,"c1coc(c1)c1cncs1"
92679,395,33,33,705,197,19130,568,92679,336,33,30,414,104,9433,288,"O=C1C=CC(=CNNc2ccccc2)C=C1"
332,563,5,5,732,135,1876,217,332,396,5,3,442,82,788,118,"c1ncc2c(c1)cc1c(c2)c2c([nH]1)cccc2"
1361,523,5,4,609,134,1759,221,1361,474,5,4,336,69,919,120,"O=C1CCOc2c1cc1ccccc1c2"
96877,358,6,6,707,117,4050,268,96877,356,6,6,415,67,2262,152,"O=c1[nH]c(C=Cc2ccco2)nc2c1cccc2"
7608,269,2,2,625,106,1301,137,7608,337,2,2,392,71,787,93,"O=C1C=CC(=O)C(=C1)c1cnc(s1)N1CCCCC1"
1238,384,297,278,813,418,172439,2478,1238,302,297,233,521,228,89158,1336,"O=C1C=c2c(=N1)cccc2"
1317,361,909,805,815,578,546251,5603,1317,345,909,709,523,348,298860,3348,"C1CCc2c(C1)scc2"
3902,370,135,132,708,259,59331,1195,3902,385,135,101,417,145,20938,596,"c1ccc(cc1)N1CCC(=N1)c1ccccc1"
7698,573,127,125,814,256,49733,1689,7698,333,127,57,522,140,18571,902,"c1ccc(nc1)Nc1nccs1"
39161,262,5,5,704,113,3498,189,39161,306,5,5,412,68,1961,120,"N=C1SC(=C)C(=O)N1c1nccs1"
187,425,1177,989,815,600,661634,8106,187,375,1177,810,523,355,360573,4869,"c1ccc2c(c1)nccn2"
24540,552,16,16,708,165,9955,545,24540,460,16,16,416,90,5253,256,"O=C1ON=CC1=Cc1ccco1"
36177,329,27,26,702,133,13035,511,36177,304,27,26,411,66,6119,261,"O=C1NC(=O)SC1=Cc1ccc(o1)c1ccccc1"
5730,513,391,350,815,515,240391,3905,5730,396,391,306,523,295,134634,2045,"O=C1NN=CC1=C"
20716,346,77,74,815,237,49066,1125,20716,379,77,69,523,138,26810,754,"O=C(c1ccccc1)Nc1nc2c([nH]1)cccc2"
1976,785,300,273,782,434,152608,4343,1976,508,300,216,490,231,74625,1949,"O=C(c1ccccc1)C=Cc1ccccc1"
25657,360,23,22,812,172,11780,434,25657,331,23,19,520,104,6458,256,"n1ccc2c(c1)cncc2"
26434,2603,55,55,712,338,26006,2879,26434,1909,55,47,420,183,12638,1288,"O=C1C=CC(=N)c2c1cccc2"
3200,495,620,574,787,465,325785,5347,3200,326,620,470,495,238,146357,2262,"O=C1NC(=S)SC1=Cc1ccccc1"
4621,465,150,143,815,373,87648,1699,4621,313,150,123,523,194,43587,771,"O=C1N=CSC1=Cc1ccccc1"
1828,454,246,219,815,359,149006,3104,1828,504,246,207,523,215,87909,2176,"c1ccc(cc1)c1nc2c(o1)cccc2"
306,1807,173,170,713,442,94776,5411,306,1407,173,163,421,236,46899,2350,"O=C1C=CC(=O)c2c1cccc2"
336,318,2,2,547,97,743,123,336,356,2,2,327,60,463,80,"O=C1OC2(c3c1cccc3)c1ccccc1Oc1c2cccc1"
5731,464,269,243,815,438,160080,2750,5731,333,269,215,523,238,89422,1391,"O=C1C(=C)C=NN1c1ccccc1"
110113,752,48,44,489,129,22639,1744,110113,473,48,44,200,45,9014,631,"O=S(=O)(c1ncccn1)Cc1ccccc1"
15,375,3193,2670,815,696,1800423,16830,15,315,3193,1993,523,428,900644,9321,"O=c1ccc2c(o1)cccc2"
138598,333,5,5,726,104,2177,184,138598,344,5,5,440,61,1307,115,"O=C1C=CC2C(C1)CC1C(=Cc3c(C1)cccc3)C2=O"
992,374,97,92,814,256,58318,1347,992,372,97,84,522,146,32268,863,"c1ccc(cc1)n1nc2c(n1)cccc2"
5429,492,68,68,712,252,42870,1181,5429,443,68,64,420,128,22330,669,"c1ccc(cc1)C=Cc1ccc2c(n1)cccc2"
