id_new,pscore_new,sTested_new,sActive_new,aTested_new,aActive_new,wTested_new,wActive_new,id_old,pscore_old,sTested_old,sActive_old,aTested_old,aActive_old,wTested_old,wActive_old,smiles
72065,401,11,11,807,142,6454,351,72065,400,11,9,518,94,4026,244,"c1ccc(cc1)c1nnc(o1)Nc1nc2c(s1)cccc2"
2551,358,1455,1404,815,529,916782,9339,2551,303,1455,1257,523,298,494502,5113,"S=c1[nH]nc[nH]1"
145,319,86,76,815,277,50912,998,145,312,86,67,523,167,27290,599,"O=C1CC(=O)c2c1cccc2"
12031,296,69,65,814,187,50023,1274,12031,346,69,63,522,116,30874,925,"c1ccc(nc1)c1nocn1"
7600,535,5,5,681,117,1888,230,7600,315,5,5,390,50,797,87,"O=C1C(=O)c2ccccc2c2c1[nH]cc2"
92770,381,11,11,687,133,6743,339,92770,394,11,11,396,70,3285,190,"c1ccc(cc1)NN=Cc1ccc(o1)c1ccccc1"
2380,584,14,14,657,149,8144,519,2380,545,14,14,366,75,4037,273,"O=c1[nH]c2nc3ccccc3nc2c(=O)[nH]1"
3697,550,27,27,707,199,16341,683,3697,402,27,24,416,110,8790,317,"O=C(c1ccccc1)C=Cc1ccco1"
7514,386,27,25,815,182,16311,611,7514,437,27,23,523,117,9813,427,"O=c1ccc2c(c1)occc2"
51473,297,29,28,814,163,17361,532,51473,325,29,27,523,90,9035,348,"C1COc2c(O1)cc1c(c2)ncs1"
63343,482,20,19,811,147,10433,618,63343,399,20,18,519,81,5940,340,"c1ncc(nn1)c1ccco1"
95422,263,4,4,638,98,2459,169,95422,307,4,4,358,62,1404,102,"O=C1C=CC(=CC1=CNc1ccccc1)Cc1ccccc1"
97237,848,22,22,804,226,15110,938,97237,756,22,22,512,127,8318,497,"O=C1C=CC(=CNn2ccsc2=N)C=C1"
99757,527,10,10,689,128,6385,472,99757,390,10,10,397,62,3429,224,"O=c1ccccc(c1)C(=O)C=Cc1ccccc1"
95,881,40,37,777,255,14427,844,95,358,40,17,486,123,4522,305,"O=C1C=CC(=O)C=C1"
918,365,2060,1677,815,639,1146690,11674,918,361,2060,1375,523,395,622252,7483,"c1ccc(cc1)c1nnco1"
47677,378,14,14,801,129,6815,368,47677,336,14,13,509,73,2965,171,"c1coc(c1)c1scnc1c1ccco1"
9632,493,458,421,815,356,210101,4622,9632,506,458,367,523,212,113461,2993,"N=c1ccc2c([nH]1)nc1n(c2=O)cccc1"
1680,457,12,12,796,171,6087,309,1680,466,12,10,505,110,3454,203,"O=C1C=CC=CC1=O"
2031,496,48,47,694,201,27234,977,2031,348,48,45,402,101,15187,455,"O=C1NC(=O)C(=Cc2ccco2)C(=O)N1"
2507,361,70,66,812,259,37628,845,2507,330,70,56,520,148,19648,505,"c1ccc(cc1)Nc1scc(n1)c1ccccc1"
6772,376,13,13,784,164,8747,360,6772,315,13,13,493,88,4736,184,"O=C1C(=Cc2ccccc2)C(=O)c2c1cccc2"
8418,399,4,4,682,121,2140,194,8418,398,4,4,396,71,1233,111,"O=C(c1ccccc1)NCNc1nc2c(s1)cccc2"
9319,634,140,136,815,328,87248,2572,9319,580,140,130,523,203,54153,1497,"c1ccc2c(c1)[nH]c1c2ncnc1"
15713,287,17,16,814,123,12100,520,15713,327,17,16,522,76,7349,353,"c1ccc(cc1)c1onc(n1)c1ccccn1"
24809,395,47,46,711,245,30219,717,24809,349,47,43,419,129,16614,408,"O=C1N=c2sccn2C(=N)C1=C"
2816,484,116,115,814,353,73786,1519,2816,422,116,109,522,200,40074,812,"C=C1C(=O)Nc2c1cccc2"
40461,936,5,5,703,152,2741,413,40461,758,5,5,412,80,1678,224,"O=C(Nc1cccnc1)C=CS(=O)Cc1ccccc1"
52138,350,58,53,691,177,33103,1005,52138,323,58,49,399,93,15499,513,"O=C(c1ccccc1)NN=Cc1ccccn1"
543,356,27,27,712,204,16259,431,543,347,27,25,420,108,8516,261,"c1ccc2c(c1)nc1c(n2)cccc1"
11859,383,131,119,815,320,80222,1571,11859,373,131,113,523,181,42951,924,"O=C(c1ccco1)Nc1nccs1"
999,945,59,56,813,220,22028,1547,999,379,59,29,521,115,8832,568,"O=c1[nH]sc2c1cccc2"
944,1122,57,56,712,294,33781,1871,944,886,57,55,420,152,18217,906,"O=C1C(=CC(=O)c2c1cccc2)Nc1ccccc1"
92751,339,78,75,714,226,44363,974,92751,356,78,69,422,124,22299,589,"O=C1NN=CC1=N"
5357,474,241,229,815,430,153018,2605,5357,429,241,202,523,251,85450,1552,"c1cnc2c(c1)ccs2"
15538,912,24,24,813,239,13316,846,15538,838,24,23,521,135,7395,486,"O=c1[nH]c2cccc3c2c(c1)c1ccccc1c3=O"
68389,758,10,10,685,166,4144,360,68389,434,10,7,415,89,2398,188,"O=C1C=CC(c2c1cccc2)NS(=O)(=O)c1ccccc1"
2472,987,42,41,809,194,13698,1144,2472,358,42,20,518,100,5174,392,"O=c1c2ccccc2sn1c1ccccc1"
3198,654,49,48,710,251,27347,1048,3198,584,49,47,418,129,13740,541,"O=C1NC(=O)C(=Cc2ccco2)S1"
9515,521,23,23,705,174,13798,638,9515,441,23,23,413,89,7099,315,"O=C1C(=CC(=O)c2c1cccc2)N1CCCCC1"
19390,472,36,34,813,204,19423,757,19390,364,36,30,521,121,13085,454,"N1CCN(CC1)c1ncnc2c1[nH]c1c2cccc1"
23929,437,50,48,708,217,29589,890,23929,357,50,45,416,122,15437,416,"O=C1ON=CC1=C"
42642,666,6,6,705,155,4126,381,42642,603,6,6,414,84,2358,212,"O=C1C(=O)c2ccoc2c2c1cccc2"
44365,567,16,15,654,141,5448,391,44365,412,16,11,364,79,2969,214,"O=S(=O)(c1ccccc1)Nc1cc2c([nH]1)nc1c(n2)cccc1"
72725,333,12,12,809,160,8583,330,72725,430,12,12,518,109,5408,238,"c1csc(n1)Nc1nc2c(s1)cccc2"
92637,631,48,46,691,220,24314,1037,92637,555,48,41,399,118,12228,551,"O=C1C=CC=CC1=CNNC(=O)c1ccccc1"
92935,421,11,11,706,164,7098,323,92935,445,11,11,415,92,3705,186,"O=C1C=CC(=CC=c2[nH]c3c([nH]2)cccc3)C=C1"
95206,1507,6,6,582,162,2741,540,95206,1150,6,6,312,76,1664,294,"O=C1C(=CC(=N)c2c1cccc2)Sc1ncn[nH]1"
105887,530,7,7,693,120,3482,326,105887,408,7,6,408,70,2099,175,"c1ccc2c(c1)sc(n2)Sc1cccc2c1non2"
566,322,383,337,815,379,219657,3101,566,332,383,299,523,234,128397,2068,"c1ccc(cc1)n1ncc2c1ncnc2"
1008,461,1836,1581,815,627,973489,12054,1008,367,1836,1190,523,368,476985,6454,"c1ccc(cc1)OCc1ccccc1"
